"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
170,"552151696","Dan Brown",1998,"Digital Fortress","Digital Fortress","en-GB","https://images.gr-assets.com/books/1360095966m/11125.jpg"
171,"141439580","Jane Austen, Fiona Stafford",1815,"Emma","Emma","eng","https://images.gr-assets.com/books/1373627931m/6969.jpg"
172,"345803922","Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,"Анна Каренина","Anna Karenina","eng","https://images.gr-assets.com/books/1352422904m/15823480.jpg"
173,"393312836","Anthony Burgess",1962,"A Clockwork Orange","A Clockwork Orange","eng","https://images.gr-assets.com/books/1348339306m/227463.jpg"
174,"964729237","William Paul Young",2007,"The Shack: Where Tragedy Confronts Eternity","The Shack","eng","https://images.gr-assets.com/books/1344270232m/1812457.jpg"
175,"739380338","Rick Riordan",2009,"The Last Olympian","The Last Olympian (Percy Jackson and the Olympians, #5)","eng","https://images.gr-assets.com/books/1327924597m/4502507.jpg"
176,"451169514","Stephen King",1986,"It","It","en-US","https://images.gr-assets.com/books/1309376909m/18342.jpg"
177,"143058142","Fyodor Dostoyevsky, David McDuff",1866,"Преступление и наказание","Crime and Punishment","eng","https://images.gr-assets.com/books/1382846449m/7144.jpg"
178,"61148512","Sylvia Plath",1963,"The Bell Jar","The Bell Jar","en-US","https://images.gr-assets.com/books/1473890514m/6514.jpg"
179,"7205236","Frank McCourt",1996,"Angela's Ashes: A Memoir","Angela's Ashes (Frank McCourt, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
180,"553208845","Hermann Hesse, Hilda Rosner",1922,"Siddhartha","Siddhartha","eng","https://images.gr-assets.com/books/1428715580m/52036.jpg"
181,"679745580","Truman Capote",1965,"In Cold Blood","In Cold Blood","eng","https://images.gr-assets.com/books/1424931136m/168642.jpg"
182,"316042676","Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures","Beautiful Creatures (Caster Chronicles, #1)","eng","https://images.gr-assets.com/books/1327873282m/6304335.jpg"
183,"1416975861","Cassandra Clare",2010,"Clockwork Angel","Clockwork Angel (The Infernal Devices, #1)","eng","https://images.gr-assets.com/books/1454962884m/7171637.jpg"
184,"141301066","Roald Dahl, Quentin Blake",1988,"Matilda","Matilda","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
185,"385534639","Erin Morgenstern",2011,"The Night Circus","The Night Circus","eng","https://images.gr-assets.com/books/1387124618m/9361589.jpg"
186,"743227441","Philippa Gregory",2001,"The Other Boleyn Girl","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","eng","https://images.gr-assets.com/books/1355932638m/37470.jpg"
187,"689865384","Scott Westerfeld",2005,"Uglies","Uglies (Uglies, #1)","eng","https://images.gr-assets.com/books/1443904172m/24770.jpg"
188,"nan","George R.R. Martin",2011,"A Dance with Dragons","A Dance with Dragons (A Song of Ice and Fire, #5)","eng","https://images.gr-assets.com/books/1327885335m/10664113.jpg"
189,"618640150","J.R.R. Tolkien",1955,"The Lord of the Rings","The Lord of the Rings (The Lord of the Rings, #1-3)","eng","https://images.gr-assets.com/books/1411114164m/33.jpg"
190,"307592731","Cheryl Strayed",2012,"Wild: From Lost to Found on the Pacific Crest Trail ","Wild: From Lost to Found on the Pacific Crest Trail","eng","https://images.gr-assets.com/books/1453189881m/12262741.jpg"
191,"930289234","Alan Moore, Dave Gibbons, John Higgins",1987,"Watchmen","Watchmen","en-US","https://images.gr-assets.com/books/1442239711m/472331.jpg"
192,"075640407X","Patrick Rothfuss",2007,"The Name of the Wind","The Name of the Wind (The Kingkiller Chronicle, #1)","eng","https://images.gr-assets.com/books/1472068073m/186074.jpg"
193,"316017922","Malcolm Gladwell",2008,"Outliers: The Story of Success","Outliers: The Story of Success","en-US","https://images.gr-assets.com/books/1344266315m/3228917.jpg"
194,"142437247","Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale","eng","https://images.gr-assets.com/books/1327940656m/153747.jpg"
195,"385340990","Mary Ann Shaffer, Annie Barrows",2008,"The Guernsey Literary and Potato Peel Pie Society","The Guernsey Literary and Potato Peel Pie Society","eng","https://images.gr-assets.com/books/1351979318m/2728527.jpg"
196,"393327345","Chuck Palahniuk",1996,"Fight Club","Fight Club","eng","https://images.gr-assets.com/books/1357128997m/5759.jpg"
197,"441008534","Charlaine Harris",2001,"Dead Until Dark","Dead Until Dark (Sookie Stackhouse, #1)","en-US","https://images.gr-assets.com/books/1468560853m/301082.jpg"
198,"671727796","Alice Walker",1982,"The Color Purple","The Color Purple","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
199,"739461192","John Grogan",2005,"Marley & Me: Life and Love with the World's Worst Dog","Marley and Me: Life and Love With the World's Worst Dog","eng","https://images.gr-assets.com/books/1308858322m/12691.jpg"
200,"312330871","Agatha Christie",1939,"Ten Little Niggers","And Then There Were None","eng","https://images.gr-assets.com/books/1391120695m/16299.jpg"
201,"385504225","Dan Brown",2009,"The Lost Symbol","The Lost Symbol (Robert Langdon, #3)","eng","https://images.gr-assets.com/books/1358274396m/6411961.jpg"
202,"1416989412","Becca Fitzpatrick",2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)","en-US","https://images.gr-assets.com/books/1358261334m/6339664.jpg"
203,"nan","Jamie McGuire",2011,"Beautiful Disaster","Beautiful Disaster (Beautiful, #1)","eng","https://images.gr-assets.com/books/1358259032m/11505797.jpg"
204,"1561797464","Charles Dickens",1843,"A Christmas Carol","A Christmas Carol","nan","https://images.gr-assets.com/books/1406512317m/5326.jpg"
205,"345476875","Anne Rice",1976,"Interview with the Vampire","Interview with the Vampire (The Vampire Chronicles, #1)","eng","https://images.gr-assets.com/books/1380631642m/43763.jpg"
206,"62059939","Kiera Cass",2012,"The Selection","The Selection (The Selection, #1)","en-US","https://images.gr-assets.com/books/1322103400m/10507293.jpg"
207,"312362080","Janet Evanovich",1994,"One for the Money","One for the Money (Stephanie Plum, #1)","en-US","https://images.gr-assets.com/books/1316730230m/6853.jpg"
208,"1400052173","Rebecca Skloot",2010,"The Immortal Life of Henrietta Lacks","The Immortal Life of Henrietta Lacks","eng","https://images.gr-assets.com/books/1327878144m/6493208.jpg"
209,"99446782","Thomas Harris",1988,"The Silence of the Lambs","The Silence of the Lambs  (Hannibal Lecter, #2)","eng","https://images.gr-assets.com/books/1390426249m/23807.jpg"
210,"159514174X","Richelle Mead",2007,"nan","Vampire Academy (Vampire Academy, #1)","en-US","https://images.gr-assets.com/books/1361098973m/345627.jpg"
211,"316010669","Malcolm Gladwell",2005,"Blink: The Power of Thinking Without Thinking","Blink: The Power of Thinking Without Thinking","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
212,"038572179X","Ian McEwan",2001,"Atonement","Atonement","eng","https://images.gr-assets.com/books/1320449708m/6867.jpg"
213,"553213695","Franz Kafka, Stanley Corngold",1915,"Die Verwandlung","The Metamorphosis","eng","https://images.gr-assets.com/books/1359061917m/485894.jpg"
214,"141382899","Rick Riordan",2007,"The Titan's Curse","The Titan's Curse (Percy Jackson and the Olympians, #3)","eng","https://images.gr-assets.com/books/1361038385m/561456.jpg"
215,"030788743X","Ernest Cline",2011,"nan","Ready Player One","eng","https://images.gr-assets.com/books/1500930947m/9969571.jpg"
216,"1554681723","Garth Stein",2006,"The Art of Racing in the Rain","The Art of Racing in the Rain","eng","https://images.gr-assets.com/books/1377206302m/3153910.jpg"
217,"739303406","Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","eng","https://images.gr-assets.com/books/1312066724m/21996.jpg"
218,"425263908","Sylvia Day",2012,"Bared to You","Bared to You (Crossfire, #1)","eng","https://images.gr-assets.com/books/1477803272m/13572249.jpg"
219,"66238501","C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia","The Chronicles of Narnia (Chronicles of Narnia, #1-7)","eng","https://images.gr-assets.com/books/1449868701m/11127.jpg"
220,"316043133","Mark Cotta Vaz",NaN,"Twilight: The Complete Illustrated Movie Companion","Twilight: The Complete Illustrated Movie Companion","en-US","https://images.gr-assets.com/books/1352539022m/3609760.jpg"
221,"1558743669","Dave Pelzer",1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
222,"752864327","Robert Ludlum",1980,"The Bourne Identity","The Bourne Identity (Jason Bourne, #1)","eng","https://images.gr-assets.com/books/1335860740m/7869.jpg"
223,"786817879","Eoin Colfer",2001,"Artemis Fowl","Artemis Fowl (Artemis Fowl, #1)","eng","https://images.gr-assets.com/books/1327945104m/249747.jpg"
224,"385738935","Lauren Kate",2009,"Fallen","Fallen (Fallen, #1)","en-US","https://images.gr-assets.com/books/1440619649m/6487308.jpg"
225,"142000655","John Steinbeck",1952,"East of Eden  ","East of Eden","eng","https://images.gr-assets.com/books/1441547516m/4406.jpg"
226,"307341569","Gillian Flynn",2009,"Dark Places","Dark Places","eng","https://images.gr-assets.com/books/1354988288m/5886881.jpg"
227,"385339089","John Grisham",1993,"The Client","The Client","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
228,"312291639","Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries","The Nanny Diaries (Nanny, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
229,"451527747","Lewis Carroll, John Tenniel, Martin Gardner",1865,"Alice's Adventures in Wonderland","Alice's Adventures in Wonderland & Through the Looking-Glass","eng","https://images.gr-assets.com/books/1327872220m/24213.jpg"
230,"192802631","Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,"Persuasion","Persuasion","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
231,"312370830","Tatiana de Rosnay",2007,"Elle s'appelait Sarah","Sarah's Key","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
232,"452284694","Stephen King",1982,"The Gunslinger","The Gunslinger (The Dark Tower, #1)","en-US","https://images.gr-assets.com/books/1375776480m/43615.jpg"
233,"140003468X","Gabriel García Márquez, Edith Grossman",1985,"El amor en los tiempos del cólera","Love in the Time of Cholera","eng","https://images.gr-assets.com/books/1327124987m/9712.jpg"
234,"014131088X","Laurie Halse Anderson",1999,"Speak","Speak","eng","https://images.gr-assets.com/books/1310121762m/439288.jpg"
235,"399159347","Liane Moriarty",2013,"The Husband's Secret ","The Husband's Secret","eng","https://images.gr-assets.com/books/1460577225m/17802724.jpg"
236,"385494785","Jon Krakauer",1997,"Into Thin Air: A Personal Account of the Mt. Everest Disaster","Into Thin Air: A Personal Account of the Mount Everest Disaster","en-US","https://images.gr-assets.com/books/1463384482m/1898.jpg"
237,"1416524304","Stephen King",1974,"Carrie","Carrie","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
238,"031242227X","Augusten Burroughs",2002,"Running with Scissors","Running with Scissors","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
239,"307346609","Max Brooks",2006,"World War Z: An Oral History of the Zombie War","World War Z: An Oral History of the Zombie War","en-US","https://images.gr-assets.com/books/1386328204m/8908.jpg"
240,"385537859","Dan Brown",2013,"Inferno","Inferno (Robert Langdon, #4)","eng","https://images.gr-assets.com/books/1397093185m/17212231.jpg"
241,"440227534","Lois Lowry",1989,"Number the Stars","Number the Stars","eng","https://images.gr-assets.com/books/1370917812m/47281.jpg"
242,"446692638","James Patterson",1993,"Along Came a Spider","Along Came a Spider (Alex Cross, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
243,"450417395","Stephen King",1987,"Misery","Misery","en-GB","https://images.gr-assets.com/books/1270545451m/10614.jpg"
244,"307341542","Gillian Flynn",2006,"Sharp Objects","Sharp Objects","en-US","https://images.gr-assets.com/books/1423241485m/66559.jpg"
245,"439366771","Katherine Paterson",1977,"Bridge to Terabithia","Bridge to Terabithia","eng","https://images.gr-assets.com/books/1327880087m/2839.jpg"
246,"312360266","P.C. Cast, Kristin Cast",2007,"Marked","Marked (House of Night, #1)","en-US","https://images.gr-assets.com/books/1317067002m/30183.jpg"
247,"743269519","Stephen R. Covey",1989,"The 7 Habits of Highly Effective People","The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","en-US","https://images.gr-assets.com/books/1421842784m/36072.jpg"
248,"743477545","William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,"A Midsummer Night's Dream","A Midsummer Night's Dream","eng","https://images.gr-assets.com/books/1327874534m/1622.jpg"
249,"618711651","Jonathan Safran Foer",2005,"Extremely Loud and Incredibly Close","Extremely Loud and Incredibly Close","en-US","https://images.gr-assets.com/books/1327879967m/4588.jpg"
250,"375869026","R.J. Palacio",2012,"Wonder","Wonder","eng","https://images.gr-assets.com/books/1309285027m/11387515.jpg"
251,"039480001X","Dr. Seuss",1957,"The Cat in the Hat","The Cat in the Hat","eng","https://images.gr-assets.com/books/1468890477m/233093.jpg"
252,"312641893","Marissa Meyer",2012,"Cinder","Cinder (The Lunar Chronicles, #1)","eng","https://images.gr-assets.com/books/1470056948m/11235712.jpg"
253,"316206849","Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling","The Cuckoo's Calling (Cormoran Strike, #1)","en-US","https://images.gr-assets.com/books/1358716559m/16160797.jpg"
254,"545123267","Maggie Stiefvater",2009,"Shiver","Shiver (The Wolves of Mercy Falls, #1)","eng","https://images.gr-assets.com/books/1409283154m/6068551.jpg"
255,"452011876","Ayn Rand, Leonard Peikoff",1957,"Atlas Shrugged","Atlas Shrugged","eng","https://images.gr-assets.com/books/1405868167m/662.jpg"
256,"143038257","Greg Mortenson, David Oliver Relin",2006,"Three Cups of Tea ","Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time","en-US","https://images.gr-assets.com/books/1395407074m/49436.jpg"
257,"517223627","Jane Carruth, Lewis Carroll, Rene Cloke",1865,"nan","Alice in Wonderland","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
258,"143034901","Carlos Ruiz Zafón, Lucia Graves",2001,"La sombra del viento","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","eng","https://images.gr-assets.com/books/1344545047m/1232.jpg"
259,"385738757","James Dashner",2010,"The Scorch Trials","The Scorch Trials (Maze Runner, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
260,"nan","Dale Carnegie",1936,"How to Win Friends and Influence People","How to Win Friends and Influence People","eng","https://images.gr-assets.com/books/1442726934m/4865.jpg"
261,"767900383","Frances Mayes",1996,"Under the Tuscan Sun","Under the Tuscan Sun","eng","https://images.gr-assets.com/books/1320524083m/480479.jpg"
262,"399167064","Liane Moriarty",2014,"Big Little Lies","Big Little Lies","eng","https://images.gr-assets.com/books/1492239430m/19486412.jpg"
263,"590920685","Gail Carson Levine",1997,"Ella Enchanted","Ella Enchanted","eng","https://images.gr-assets.com/books/1410727190m/24337.jpg"
264,"743297334","Ernest Hemingway",1926,"The Sun Also Rises","The Sun Also Rises","en-US","https://images.gr-assets.com/books/1331828228m/3876.jpg"
265,"61120073","Betty  Smith",1943,"A Tree Grows In Brooklyn ","A Tree Grows in Brooklyn","eng","https://images.gr-assets.com/books/1327883484m/14891.jpg"
266,"446677388","James Patterson",1995,"Kiss the Girls","Kiss the Girls (Alex Cross, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
267,"312577222","Kristin Hannah",2015,"The Nightingale","The Nightingale","eng","https://images.gr-assets.com/books/1451446316m/21853621.jpg"
268,"1400078776","Kazuo Ishiguro",2005,"Never Let Me Go","Never Let Me Go","eng","https://images.gr-assets.com/books/1353048590m/6334.jpg"
269,"786890754","Cecelia Ahern",2003,"PS, I Love You","P.S. I Love You","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
